food,Caloric_Value,Fat,Carbohydrates,Sugars,Protein,Dietary_Fiber,Cholesterol,Iron
turkey vegetable soup,72,3,8.6,2.6,3.1,0.5,2.4,0.8
wonton soup,71,0.6,11.7,0.8,4.6,0.4,8.9,0.5
beef stock,31,0.2,2.9,1.3,4.7,0,0,0.6
mushroom barley soup,186,5.5,29.3,0,4.6,0,0,1.2
gazpacho soup,70,0.4,6.6,2.2,10.7,0.7,0,1.5
beef mushroom soup,186,7.3,15.9,0,14,0.6,15.3,2.1
chicken rice soup,127,3.2,13,1.4,12.3,1,12,1.9
pepperpot soup,100,4.5,9.1,0,6.2,0.5,9.7,0.9
vegetable soup,149,4,24.6,7.9,4.3,1.3,0,2.2
chili beef soup,308,6.7,49.6,13.4,13.4,6.6,26.3,0.8
chicken soup,174,6.5,16.9,2.1,12.4,1.5,29.4,1.7
bean with frankfurters soup,188,7,22,0,10,0,12.5,2.4
pea soup,161,2.8,25.6,8.3,8.3,4.9,0,1.9
turkey soup,135,4.4,14.1,0,10.2,0,9.4,1.9
stockpot soup,201,7.8,23.1,0,9.8,0,7.7,1.8
hot sour soup,91,2.8,10.1,1,6,1.2,48.9,1.5
cheese soup,203,9.7,28,9.3,2,5.5,7.4,0.4
cream of potato soup,186,4.7,32.2,3.6,3.8,3.3,2.5,0.9
bean with bacon soup,106,2.1,16.4,0.6,5.5,9,2.7,1.3
fish stock,40,1.9,0,0,5.3,0,2.3,0.019
split pea soup with ham,381,8.9,56.2,0,20.7,4.6,16.2,4.6
beef broth soup,17,0.5,0.01,0,2.7,0,0,0.4
lentil soup with ham,139,2.8,20.2,0,9.3,0,7.4,2.7
tomato soup,98,0.7,22.5,12.2,2.2,1.6,0,0.9
fish broth,39,1.5,1,0.2,4.9,0,0,0.5
chili without beans canned,283,17,14.6,0,18.1,0,50.4,4.8
minestrone soup,167,5,22.6,3.7,8.6,2,2.5,1.8
clam chowder soup,154,4.4,24.5,6.8,4.4,3,5,3.3
tomato vegetable soup,54,0.8,9.9,2.4,1.9,0.7,0,0.6
cream of rice coup,127,0.2,28.1,0.022,2.2,0.2,0,0.5
cream of celery soup,181,11.2,17.7,3.4,3.3,1.5,27.7,1.3
chicken gravy,188,13.6,12.9,1.9,4.6,1,4.8,1.1
tomato rice soup,240,5.5,44.1,15.2,4.2,3.4,2.6,1.6
vegetable beef soup,128,2,9.6,0,18.1,4.4,8.8,0
tomato beef noodle soup,281,8.6,42.3,0,8.9,3,7.5,2.2
oyster stew soup,118,7.7,8.2,0,4.2,0,27.1,2
ramen noodle soup dry,371,13.3,53.9,1.3,8.9,2,0,3.4
chicken noodle soup,145,4.7,18.4,0,7.2,2.7,24.2,0.4
chicken bouillon dry,11,0.6,0.7,0.7,0.7,0,0.5,0.061
cream of asparagus soup,174,8.2,21.5,1.8,4.6,1,10.1,1.6
turkey noodle soup,139,4,17.3,1,7.8,1.5,10.1,1.9
cream of shrimp soup,181,10.4,16.5,0,5.6,0.5,32.8,1.1
bean with pork soup,335,11.5,44.1,7.8,15.3,15.3,5.2,4
chicken broth,12,0.5,1,0,1,0,0,0.5
beef broth powder,8,0.3,0.6,0.6,0.6,0,0.4,0.03
split pea soup,180,2.3,29.9,12.8,9.7,4.8,5.1,1.9
escarole soup,61,4,4,0,3.4,0,5.5,1.7
chicken stock,86,2.9,8.5,3.8,6,0,7.2,0.5
tomato bisque soup,248,5,47.7,0,4.5,2.1,10.3,1.7
shark fin soup,99,4.3,8.2,0,6.9,0,4.3,2
onion soup,113,3.5,16.4,6.7,7.5,1.7,0,1.4
chicken gumbo soup,113,2.9,16.8,4.9,5.3,4,7.6,1.8
crab soup,95,0.8,12.5,0,10.4,2.4,41.5,1.9
tripe soup,148,5.2,8.1,0,17.2,0,118,1.4
little india little lunch,164,10.6,2,0,0,0,0,0
original chicken sandwich chick fil a,125,5.1,0,0,0,0,0,0
sausage mcmuffin mcdonalds,383,24.2,28.2,2.2,14.6,1.6,44.9,2.3
sausage mcgriddles mcdonalds,421,24,42.2,15.2,11.4,1.4,32.4,1.9
crispy chicken drumstick kentucky fried chicken,70,3,0,0,10.6,0,56.2,0.4
chicken crispy drumsticks kentucky fried chicken,156,10.1,4.5,0,11.8,0,62.1,0.5
biscuit kentucky fried chicken,185,9.1,22.1,1.7,3.8,0.8,0.5,1.5
english muffin mcdonalds,97,2.3,2.9,1.5,5.7,0.2,20.7,13.1
french fries mcdonalds,378,18.1,49.8,0.2,4,4.6,0,0.1
hotdog,383,23,28.5,0,16.4,0,69.8,3.7
french fries burger king,207,9.2,28.6,0.4,2.4,2.1,0,0.005
original taco with beef cheese lettuce taco bell,158,8.8,13.7,0.6,6.1,2.7,19.3,0.8
hotdog with chili,296,13.4,31.3,0,13.5,0,51.3,3.3
chicken crispy wings kentucky fried chicken,148,10.1,5.1,0,9.2,0,47.1,0.3
egg white delight mcdonalds,250,16,0,0,0,0,0,0
french toast sticks burger king,73,3.7,8.7,2.1,1.3,0.3,0,0.4
mcchicken mcdonalds,358,17.3,36.6,4.7,13.7,1.7,35.4,0.1
nachos supreme taco bell,480,26.6,45,0,14.8,8,37.1,4.2
crispy chicken wing kentucky fried chicken,104,5.3,1.3,0,12.6,0,64.2,0.4
chicken strips burger king,105,5.5,7.4,0,6.6,0.5,15.8,0.005
crispy chicken breast kentucky fried chicken,214,6.7,0.4,0,38.2,0,121.8,0.7
sausage biscuit mcdonalds,440,29.7,31.8,2.3,11.3,1.4,33.9,2.4
sausage burrito mcdonalds,339,17.1,24.2,1.4,13,1.2,172.9,1.8
onion rings fried,27,1.6,2.8,0.4,0.3,0.2,0,0.038
onion rings burger king,379,23,39.7,4.9,3.5,2.5,0,0.7
turkey patty fried,79,5,4.4,0.053,3.9,0.1,21,0.6
hotcakes with syrup mcdonalds,601,17.8,101.8,45.5,9,2,19.9,2.8
crispy chicken thigh kentucky fried chicken,163,9.1,0,0,20.4,0,107.4,0.9
corn dog,195,9.4,21,5.9,6.7,0.8,34.3,0.1
chicken box mcdonalds,70,4,5.5,0.5,0.2,0,0,0
potato wedges kentucky fried chicken,379,19.8,45,0,5.4,4.2,0,1.4
scrambled eggs mcdonalds,98,7.5,0.9,0.1,7.7,0,217.8,1.1
egg mcmuffin mcdonalds,287,12.2,27.3,2.7,17.2,1.4,207.9,0.1
nachos taco bell,362,21.9,36,0,5.1,3.8,4,1.1
biscuit large mcdonalds,310,14.4,39.4,2.7,5.5,1.8,0,2.5
crispy chicken strips kentucky fried chicken,129,7.2,6.4,0,9.5,0.7,24,0.3
hotcakes mcdonalds,113,2.9,19,4.4,3,0.7,6.4,0.9
chicken crispy breast kentucky fried chicken,375,23.2,11.9,0,29.7,0,106.4,0.8
hotcakes sausage mcdonalds,776,34.9,102.4,45.7,15.5,2.1,50.2,3.2
chicken mcnuggets mcdonalds,48,3.2,2.4,0.025,2.5,0,7,0.017
chips chipotle,151,7.1,2.1,2.1,0.2,0,0,0
biscuit mcdonalds,261,12.2,33.3,2.2,4.7,1.5,0,2.1
rice bowl with chicken,36,0.4,6.4,1.2,1.6,0.2,4.5,0.008
spaghetti with meatballs,200,8.2,22.9,5.8,8.7,5.4,14,0.1
meat ravioli canned,259,8.9,36,6.3,8.9,4.2,13.1,2.8
cheese ravioli canned,186,3.5,33,9,6,3.1,7.3,1.8
premium crispy chicken ranch blt sandwich mcdonalds,586,22.9,59.8,13.3,35.3,3.4,72,3.4
steak sandwich,459,14.1,52,0,30.3,0,73.4,5.2
cheeseburger burger king,380,19.7,31.5,6,19.4,3.7,59.9,3.3
